Long,Lat,scientificName
-71.951746,42.870639,Suillus pictus
-80.703738,37.314032,Suillus pictus
-71.6865,44.0302,Suillus pictus
-76.480774,42.352296,Suillus pictus
-80.52275,37.37456,Suillus pictus
-80.4787,37.27298,Suillus pictus
-80.583258,37.414856,Suillus pictus
-80.583258,37.414856,Suillus pictus
-80.55683699,37.42925098,Suillus pictus
-80.5227,37.3751,Suillus pictus
-79.15895,35.61326,Suillus pictus
-80.558118,37.392069,Suillus pictus
-80.575896,37.367347,Suillus pictus
-74.050692,42.1962,Suillus pictus
-82.622418,35.191733,Suillus pictus
-82.32123,35.617895,Suillus pictus
-80.575896,37.367347,Suillus pictus
-80.558118,37.392069,Suillus pictus
-74.253044,44.437379,Suillus pictus
-74.259534,44.448428,Suillus pictus
-84.67758,45.558621,Suillus pictus
-74.448462,43.950352,Suillus pictus
-74.259534,44.448428,Suillus pictus
-80.558118,37.392069,Suillus pictus
-81.884444,35.886111,Suillus pictus
-78.99376,36.02078,Suillus pictus
-83.834717,35.580867,Suillus pictus
-68.236799,44.354845,Suillus pictus
-80.467988,37.281354,Suillus pictus
-80.994227,37.535728,Suillus pictus
-80.362716,37.311024,Suillus pictus
-80.486854,37.183701,Suillus pictus
-80.498451,37.266851,Suillus pictus
82.42715,35.223,Suillus pictus
-83.121133,35.615417,Suillus pictus
-95.692241,47.779958,Suillus pictus
-84.676642,45.541172,Suillus pictus
-84.783936,45.552789,Suillus pictus
-84.47448,45.646956,Suillus pictus
-84.683333,45.55,Suillus pictus
-84.970073,45.661167,Suillus pictus
-83.564604,35.2085,Suillus pictus
-74.637808,43.840093,Suillus pictus
-84.78196,45.778664,Suillus pictus
-78.891981,42.199784,Suillus pictus
-78.92677,42.596776,Suillus pictus
-74.216667,44,Suillus pictus
-70.544782,44.213959,Suillus pictus
-85.03026,46.557469,Suillus pictus
-85.207875,46.603468,Suillus pictus
